field,definition
dataSource,"Exact source name stored in Phenobase records and used as the join key between record exports, source counts, and this metadata table."
displayName,"Human-readable source name to show in public citation files, download notes, and release documentation."
providerName,"Organization, project, network, or data provider responsible for the source dataset."
sourceType,"Broad source category such as human observation, machine annotation, or herbarium specimen image."
sourceUrl,"Main public landing page for the source dataset, project, or data provider."
sourceIdentifier,"Stable source-level identifier as a full URL when available, such as a DOI URL, GBIF dataset URL, ARK URL, or project URL."
sourceVersion,"Source dataset version, release identifier, or release date when the upstream source provides one."
licenseId,"Machine-readable or normalized license identifier, such as cc-by-4.0, cc-by-nc-4.0, cc-by-nc-sa-4.0, mixed, or unknown."
licenseName,"Human-readable license name for citation and data-use notes."
licenseUrl,"Public URL for the license or source-specific terms of use."
citationText,"Preferred citation text or citation template for the source when available from the source provider."
dataUseNotes,"Source-specific attribution, redistribution, license, or interpretation notes that should accompany downloads and releases."
phenobaseProcessingSummary,"Short description of how Phenobase transforms, normalizes, annotates, or maps records from this source."
citationSourceUrl,"URL where the citation, license, or data-use guidance was found."
