guid,errors
a129698b-1eca-4dcb-bdfa-67d1eb06478b,prediction class must be 'detected'
1f86ab5e-bbdc-4da1-b402-ba45d7f5fe34,prediction class must be 'detected'
0ccbbfcc-8cc1-4e43-bc9a-c19e28a59ffc,Field 'coordinate_uncertainty_meters' must be an integer
866192c8-ea73-4d09-972d-784b3de5c021,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
a8686d5a-630e-44d6-9220-7f806631ca9f,prediction class must be 'detected'
8b2cefd2-bd6f-4479-b763-363849dd126e,prediction class must be 'detected'
36d94d8b-3857-4047-ae37-6373fdb2a007,prediction class must be 'detected'|certainty must be set to 'high' to load
4246a0e5-eee0-4f95-a199-85c08a9b305d,prediction class must be 'detected'
5327b07f-fd88-4989-8300-e7d7fe8a57b9,prediction class must be 'detected'
8e119bee-7d79-451f-ac96-685a8bfa4a44,prediction class must be 'detected'
658e2b7d-cebc-4898-8655-653120ab5b87,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
f2490a0c-19d4-4bfa-b544-92fcfbbf762e,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
bcfcca23-cb84-4c40-9601-40a50fc10796,prediction class must be 'detected'
a091a23b-600d-47e9-83ef-d86b5dc43abd,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
fb6bb601-b61c-4d46-80e3-88bd2de54a7f,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
f2aff8ee-7d96-4c51-b84b-ff863bae2b1d,prediction class must be 'detected'
4564beeb-f4a4-4c8a-bd16-9bcc9dcbf692,prediction class must be 'detected'
7c523878-70eb-45ca-ad92-40fb0f9602b4,prediction class must be 'detected'
7cc7f98c-8a03-4b81-9e11-60bbe74e802f,prediction class must be 'detected'
caab3a78-9ad7-4b92-8895-bafdafd21e91,prediction class must be 'detected'
16199abb-efa7-4d37-b71a-d82a8810d669,prediction class must be 'detected'
3b1b3599-f008-45e5-bd29-ac0e4d22b78e,prediction class must be 'detected'|certainty must be set to 'high' to load
ce8bf03d-587e-4375-86bf-73c09bc287ef,prediction class must be 'detected'
47f3bd63-2325-4a5b-b89a-7f2c50bf856e,prediction class must be 'detected'|certainty must be set to 'high' to load
dcd6a9ae-8ca6-4ddc-848f-a5126e1edaf7,Field 'coordinate_uncertainty_meters' must be an integer
6c15df0c-c467-4138-9ae8-2ada759592e3,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
7292dd0d-bb32-4ed5-8994-bce472d8b5d7,prediction class must be 'detected'|certainty must be set to 'high' to load
88d22515-8952-4dda-a15a-0a525bb68a5e,prediction class must be 'detected'
1472be95-794c-4168-b9a1-cf9a2172f4e9,prediction class must be 'detected'
b9f4ab77-d11e-48b2-ac6e-7554acf28d75,prediction class must be 'detected'
525d5252-5e72-475a-9c39-cc326e7c5911,prediction class must be 'detected'
a8299313-1ba9-474a-b2a3-62018fb4d9f5,prediction class must be 'detected'
6bf0a255-58e2-4a45-9030-b0bbcc427394,prediction class must be 'detected'
bebc7401-0dc2-4c7e-b1c5-b057b7c76e0b,prediction class must be 'detected'
f70ba645-0739-4b6e-8509-35b4df0f33e9,prediction class must be 'detected'
b6274951-81a2-453a-9ee2-ed685c2c8836,prediction class must be 'detected'|certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
20f766ad-b15b-459a-a259-1ceaa1d50f31,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
c332bb75-c1ee-4750-9b9c-12ca74a05e5d,Field 'coordinate_uncertainty_meters' must be an integer
d60aa770-b387-46d8-b53c-6e0a942aa055,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
29521acc-f0d1-472b-8fcd-31dfa66c35a4,prediction class must be 'detected'|certainty must be set to 'high' to load
7970ce6b-3c18-4c07-9e63-b93edb1f9eb0,prediction class must be 'detected'
aa77ebca-8bf7-4f6c-bba9-4b6bfa17c58c,prediction class must be 'detected'
12054c04-43af-49aa-a507-7cfc4c65f1a5,certainty must be set to 'high' to load
f79459f7-4265-407f-8a74-9305cdb955e3,prediction class must be 'detected'|certainty must be set to 'high' to load
