machine_learning_annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
a129698b-1eca-4dcb-bdfa-67d1eb06478b,iNaturalist,4/29/21,119,2021,41.22574643,-124.1073637,1087,Nyctaginaceae,2024,Abronia,Abronia latifolia,species,flower,126554783,https://www.inaturalist.org/photos/126554783,https://www.inaturalist.org/observations/84ea1e0b-43e2-406f-bf37-88ef3705f433,high,10.57967/hf/2763,0.153198242,Not Detected,0.047924901,0.98858329,0.964920949
1f86ab5e-bbdc-4da1-b402-ba45d7f5fe34,iNaturalist,4/29/21,119,2021,41.22574643,-124.1073637,1087,Nyctaginaceae,2024,Abronia,Abronia latifolia,species,fruit,126554783,https://www.inaturalist.org/photos/126554783,https://www.inaturalist.org/observations/84ea1e0b-43e2-406f-bf37-88ef3705f433,high,10.57967/hf/2763,0.026504517,Not Detected,0.024209486,0.98278481,0.9743083
0ccbbfcc-8cc1-4e43-bc9a-c19e28a59ffc,iNaturalist,7/28/20,210,2020,51.70283,36.21077,NA,Asteraceae,104342,Sonchus,Sonchus arvensis,species,flower,88006193,https://www.inaturalist.org/photos/88006193,https://www.inaturalist.org/observations/8beb3ff6-6c8f-46fe-9e31-5146f5247e0e,high,10.57967/hf/2763,0.998046875,Detected,0.076009661,0.982813164,0.944087712
866192c8-ea73-4d09-972d-784b3de5c021,iNaturalist,7/28/20,210,2020,51.70283,36.21077,NA,Asteraceae,104342,Sonchus,Sonchus arvensis,species,fruit,88006193,https://www.inaturalist.org/photos/88006193,https://www.inaturalist.org/observations/8beb3ff6-6c8f-46fe-9e31-5146f5247e0e,high,10.57967/hf/2763,0.05166626,Not Detected,0.058126162,0.977909379,0.960054436
a8686d5a-630e-44d6-9220-7f806631ca9f,iNaturalist,3/1/23,60,2023,40.40115757,-80.13674558,27939,Limnanthaceae,160,Floerkea,Floerkea proserpinacoides,species,flower,259712143,https://www.inaturalist.org/photos/259712143,https://www.inaturalist.org/observations/78e46ba8-7385-4195-b56c-48587cf7a60a,high,10.57967/hf/2763,0.107788086,Not Detected,0.1125,0.985915493,0.9125
8b2cefd2-bd6f-4479-b763-363849dd126e,iNaturalist,3/1/23,60,2023,40.40115757,-80.13674558,27939,Limnanthaceae,160,Floerkea,Floerkea proserpinacoides,species,fruit,259712143,https://www.inaturalist.org/photos/259712143,https://www.inaturalist.org/observations/78e46ba8-7385-4195-b56c-48587cf7a60a,high,10.57967/hf/2763,0.017913818,Not Detected,0.0875,0.993150685,0.9875
36d94d8b-3857-4047-ae37-6373fdb2a007,iNaturalist,7/14/19,195,2019,50.90680638,-119.4389834,222,Rosaceae,20597,Rubus,Rubus parviflorus,species,flower,45352757,https://www.inaturalist.org/photos/45352757,https://www.inaturalist.org/observations/aa4372f2-552c-4d38-9d5e-49748ed165bb,low,10.57967/hf/2763,0.751464844,Not Detected,0.045006554,0.985815963,0.960722435
4246a0e5-eee0-4f95-a199-85c08a9b305d,iNaturalist,7/14/19,195,2019,50.90680638,-119.4389834,222,Rosaceae,20597,Rubus,Rubus parviflorus,species,fruit,45352757,https://www.inaturalist.org/photos/45352757,https://www.inaturalist.org/observations/aa4372f2-552c-4d38-9d5e-49748ed165bb,high,10.57967/hf/2763,0.183349609,Not Detected,0.040928291,0.977118558,0.962421712
5327b07f-fd88-4989-8300-e7d7fe8a57b9,iNaturalist,7/5/22,186,2022,34.18723667,-117.45067,3,Polygonaceae,7397,Eriogonum,Eriogonum elongatum,species,flower,212096827,https://www.inaturalist.org/photos/212096827,https://www.inaturalist.org/observations/b493e4f2-9bcc-4fc9-965f-13d5f98a2028,high,10.57967/hf/2763,0.058013916,Not Detected,0.167365148,0.962006819,0.866567527
8e119bee-7d79-451f-ac96-685a8bfa4a44,iNaturalist,7/5/22,186,2022,34.18723667,-117.45067,3,Polygonaceae,7397,Eriogonum,Eriogonum elongatum,species,fruit,212096827,https://www.inaturalist.org/photos/212096827,https://www.inaturalist.org/observations/b493e4f2-9bcc-4fc9-965f-13d5f98a2028,high,10.57967/hf/2763,0.009086609,Not Detected,0.087873462,0.967096487,0.942949845
