dataSource,scientificName,trait,family,year,dayOfYear,latitude,longitude,observedMetadataUrl,occurrenceID,genus,date,recordedBy,coordinateUncertaintyInMeters,modelUri,accuracyExcludingUncertainFamily,ObservedImageUrl,verbatimTrait,annotation_method
iNaturalist,Apocynum cannabinum,green leaves present,Apocynaceae,2007,206,42.5238210665,-72.6270449169,https://www.inaturalist.org/observations/0000c9c4-b571-4117-ad40-dccf24720683,0000c9c4-b571-4117-ad40-dccf24720683,Apocynum,2007-07-25,280446,100,10.57967/hf/5785,0.975609756097561,https://www.inaturalist.org/photos/59313147,green leaves,machine
iNaturalist,Crataegus monogyna,green leaves present,Rosaceae,2008,123,43.38713663,-4.2831820255,https://www.inaturalist.org/observations/0002e8c1-e6d6-498b-91e9-a4919dca8f7b,0002e8c1-e6d6-498b-91e9-a4919dca8f7b,Crataegus,2008-05-02,1978464,NA,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/114329103,green leaves,machine
iNaturalist,Cormus domestica,green leaves present,Rosaceae,2009,1,43.9742577668,7.0236851394,https://www.inaturalist.org/observations/00036170-6797-4a82-b1ec-871329ebb793,00036170-6797-4a82-b1ec-871329ebb793,Cormus,2009-01-01,7062688,61,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/309341074,green leaves,machine
iNaturalist,Populus tremuloides,green leaves present,Salicaceae,1986,177,37.3007753903,-112.9737352278,https://www.inaturalist.org/observations/00045721-d553-4246-b7e2-94dcf884660e,00045721-d553-4246-b7e2-94dcf884660e,Populus,1986-06-26,4191093,3547,10.57967/hf/5785,0.9788867562380038,https://www.inaturalist.org/photos/254508454,green leaves,machine
iNaturalist,Carya cordiformis,breaking buds present,Juglandaceae,2012,116,46.2936868333,-72.5240749472,https://www.inaturalist.org/observations/000672b7-fb5b-494b-a5d1-dd3d59c882a7,000672b7-fb5b-494b-a5d1-dd3d59c882a7,Carya,2012-04-25,4603747,31,10.57967/hf/5785,0.992,https://www.inaturalist.org/photos/173183434,breaking buds,machine
iNaturalist,Syringa vulgaris,green leaves present,Oleaceae,2011,164,45.25805576,-81.66076249,https://www.inaturalist.org/observations/0006fd50-bacf-4ebf-a8d6-7e5b16f0b4a2,0006fd50-bacf-4ebf-a8d6-7e5b16f0b4a2,Syringa,2011-06-13,2041054,NA,10.57967/hf/5785,0.9937888198757764,https://www.inaturalist.org/photos/45976093,green leaves,machine
iNaturalist,Acer macrophyllum,colored leaves present,Sapindaceae,2012,322,38.4044384681,-122.583857994,https://www.inaturalist.org/observations/000a0ace-6030-4dc5-a7c6-294e69d4bbdf,000a0ace-6030-4dc5-a7c6-294e69d4bbdf,Acer,2012-11-17,427781,30,10.57967/hf/5785,0.9909784871616932,https://www.inaturalist.org/photos/112201390,colored leaves,machine
iNaturalist,Morus alba,green leaves present,Moraceae,2009,190,42.787213,-73.797784,https://www.inaturalist.org/observations/000b13d1-a633-479d-80d4-480355732d53,000b13d1-a633-479d-80d4-480355732d53,Morus,2009-07-09,40107,NA,10.57967/hf/5785,1,https://www.inaturalist.org/photos/2180990,green leaves,machine
iNaturalist,Fagus sylvatica,green leaves present,Fagaceae,2008,133,47.4754523874,7.6382413801,https://www.inaturalist.org/observations/000d01cc-2cda-4875-b775-ea2d3f80edfe,000d01cc-2cda-4875-b775-ea2d3f80edfe,Fagus,2008-05-12,5655975,462,10.57967/hf/5785,0.9927089175546832,https://www.inaturalist.org/photos/244051002,green leaves,machine
iNaturalist,Symphoricarpos occidentalis,green leaves present,Caprifoliaceae,2006,178,49.7116827495,-110.7333227785,https://www.inaturalist.org/observations/000e0ccb-bb29-44c8-88fc-b6c08e8c146b,000e0ccb-bb29-44c8-88fc-b6c08e8c146b,Symphoricarpos,2006-06-27,541726,800,10.57967/hf/5785,0.996492985971944,https://www.inaturalist.org/photos/61085478,green leaves,machine
iNaturalist,Rubus hispidus,green leaves present,Rosaceae,2012,180,44.4784798811,-73.1528327863,https://www.inaturalist.org/observations/000f17a9-a143-4a55-8614-5b27a618c39a,000f17a9-a143-4a55-8614-5b27a618c39a,Rubus,2012-06-28,2179,11813,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/141085,green leaves,machine
iNaturalist,Lonicera hispidula,breaking buds present,Caprifoliaceae,2011,28,48.4884769078,-123.3443968521,https://www.inaturalist.org/observations/000ff16b-0fc7-4eb7-ae1f-dacf86b88a51,000ff16b-0fc7-4eb7-ae1f-dacf86b88a51,Lonicera,2011-01-28,408815,488,10.57967/hf/5785,0.999505684626792,https://www.inaturalist.org/photos/57049356,breaking buds,machine
iNaturalist,Lonicera hispidula,green leaves present,Caprifoliaceae,2011,28,48.4884769078,-123.3443968521,https://www.inaturalist.org/observations/000ff16b-0fc7-4eb7-ae1f-dacf86b88a51,000ff16b-0fc7-4eb7-ae1f-dacf86b88a51,Lonicera,2011-01-28,408815,488,10.57967/hf/5785,0.996492985971944,https://www.inaturalist.org/photos/57049346,green leaves,machine
iNaturalist,Fallugia paradoxa,green leaves present,Rosaceae,2008,227,35.728072,-106.714423,https://www.inaturalist.org/observations/00111274-057d-417f-a62d-7bede8127053,00111274-057d-417f-a62d-7bede8127053,Fallugia,2008-08-14,118152,NA,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/2658707,green leaves,machine
iNaturalist,Actaea rubra,green leaves present,Ranunculaceae,1997,211,49.831303,-119.368469,https://www.inaturalist.org/observations/0014c3c3-29c6-4cae-8887-2e33972d5c7b,0014c3c3-29c6-4cae-8887-2e33972d5c7b,Actaea,1997-07-30,717200,2000,10.57967/hf/5785,0.9668508287292816,https://www.inaturalist.org/photos/182808998,green leaves,machine
iNaturalist,Vaccinium fuscatum,green leaves present,Ericaceae,2011,66,30.6191961383,-82.0498780129,https://www.inaturalist.org/observations/0019b8df-3621-4801-9140-93c4257570bc,0019b8df-3621-4801-9140-93c4257570bc,Vaccinium,2011-03-07,4348831,29330,10.57967/hf/5785,0.978125,https://www.inaturalist.org/photos/328387349,green leaves,machine
iNaturalist,Rubus ursinus,green leaves present,Rosaceae,2013,55,37.919694,-122.532912,https://www.inaturalist.org/observations/001b2d92-da68-4801-b953-6e183c69a84e,001b2d92-da68-4801-b953-6e183c69a84e,Rubus,2013-02-24,12616,NA,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/261943,green leaves,machine
iNaturalist,Populus tremuloides,green leaves present,Salicaceae,2011,259,35.8116882498,-105.6600236893,https://www.inaturalist.org/observations/001d5340-2dbe-4195-b832-b1d6043db10a,001d5340-2dbe-4195-b832-b1d6043db10a,Populus,2011-09-16,1153393,603,10.57967/hf/5785,0.9788867562380038,https://www.inaturalist.org/photos/176983152,green leaves,machine
iNaturalist,Viburnum opulus,breaking buds present,Viburnaceae,2007,109,52.3098866667,0.2890216667,https://www.inaturalist.org/observations/001d5392-3dd1-48cb-8772-5440ba5546b3,001d5392-3dd1-48cb-8772-5440ba5546b3,Viburnum,2007-04-19,10564,NA,10.57967/hf/5785,0.996268656716418,https://www.inaturalist.org/photos/58012047,breaking buds,machine
iNaturalist,Tilia cordata,green leaves present,Malvaceae,2010,176,54.848403905,47.3836670003,https://www.inaturalist.org/observations/001ecffd-7f40-409c-96e3-62283dff0fa5,001ecffd-7f40-409c-96e3-62283dff0fa5,Tilia,2010-06-25,1237850,244,10.57967/hf/5785,0.9938271604938272,https://www.inaturalist.org/photos/62159957,green leaves,machine
iNaturalist,Ficus coronata,green leaves present,Moraceae,2012,100,-26.7809818336,152.5670202354,https://www.inaturalist.org/observations/0020aeef-50fd-4568-aef0-f5362d85aa07,0020aeef-50fd-4568-aef0-f5362d85aa07,Ficus,2012-04-09,108966,623,10.57967/hf/5785,1,https://www.inaturalist.org/photos/251242641,green leaves,machine
