file_name,photo_id,observation_uuid,inat_URL,latitude,longitude,positional_accuracy,taxon_id,observed_on,name,rank,family_id,family,count_family,trait,prediction_prob,prediction_class,equivocal,proportion_equivocal_family,accuracy_excluding_equivocal_family,accuracy_family,genus
88006193.jpeg,88006193,8beb3ff6-6c8f-46fe-9e31-5146f5247e0e,https://www.inaturalist.org/observations/8beb3ff6-6c8f-46fe-9e31-5146f5247e0e,51.70283,36.21077,NA,79156,2020-07-28,Sonchus arvensis,species,47604,Asteraceae,104342,flower,0.998046875,Detected,Unequivocal,0.07600966053938012,0.9828131644729337,0.9440877115638956,Sonchus
250378.jpg,250378,a144db59-33be-4301-b7b9-eb7e7b6ae8c6,https://www.inaturalist.org/observations/a144db59-33be-4301-b7b9-eb7e7b6ae8c6,35.9113680047,-79.0556645393,6,791928,2012-04-17,Lysimachia arvensis,species,48064,Primulaceae,12091,flower,0.98095703125,Detected,Unequivocal,0.02721032172690431,0.9930283965312022,0.981556529650153,Lysimachia
63998373.jpg,63998373,8334dfe1-8c95-4356-b08c-04bc2457cfa0,https://www.inaturalist.org/observations/8334dfe1-8c95-4356-b08c-04bc2457cfa0,0.83134,24.33048,50,914282,2010-05-07,Buchnerodendron speciosum,species,71427,Achariaceae,39,flower,0.99462890625,Detected,Unequivocal,0.05128205128205128,1,1,Buchnerodendron
6711196.jpeg,6711196,26c7dc94-2777-4174-a60a-4d7cc1a63b60,https://www.inaturalist.org/observations/26c7dc94-2777-4174-a60a-4d7cc1a63b60,4.602481259,-74.065110906,172,243824,2017-03-25,Potentilla indica,species,47148,Rosaceae,20597,fruit,0.9736328125,Detected,Unequivocal,0.04092829052774676,0.97711855826668,0.9624217118997912,Potentilla
120497724.jpg,120497724,fa665b78-303f-47b6-938b-87f24fa31a02,https://www.inaturalist.org/observations/fa665b78-303f-47b6-938b-87f24fa31a02,36.0679051732,-80.2499868201,65,53324,2021-04-12,Vicia sativa,species,47122,Fabaceae,54776,flower,0.99755859375,Detected,Unequivocal,0.04414342047612093,0.98682149814737,0.964564772893238,Vicia
143102743.jpeg,143102743,62b9798a-93af-48cb-904d-ced0c440f95b,https://www.inaturalist.org/observations/62b9798a-93af-48cb-904d-ced0c440f95b,-34.4139042038,150.8546119183,165,537999,2021-07-13,Cryptocarya glaucescens,species,48809,Lauraceae,1995,fruit,0.98681640625,Detected,Unequivocal,0.04511278195488721,0.9800524934383202,0.9654135338345864,Cryptocarya
54708071.jpg,54708071,8e0384d7-ff75-4931-a5be-1ad17a9220d8,https://www.inaturalist.org/observations/8e0384d7-ff75-4931-a5be-1ad17a9220d8,29.8197660037,-98.0946246722,5,168843,2019-10-22,Senna lindheimeriana,species,47122,Fabaceae,54776,flower,0.9892578125,Detected,Unequivocal,0.04414342047612093,0.98682149814737,0.964564772893238,Senna
138624537.jpeg,138624537,84be1260-983f-4b29-9d84-4b02cec62cba,https://www.inaturalist.org/observations/84be1260-983f-4b29-9d84-4b02cec62cba,53.0793790859,16.1676214186,2,133487,2021-06-17,Bistorta officinalis,species,48382,Polygonaceae,7397,flower,0.99609375,Detected,Unequivocal,0.16736514803298636,0.9620068192888456,0.8665675273759632,Bistorta
128788450.jpeg,128788450,4b3942e2-b79b-47e5-84b7-532c95ce18a8,https://www.inaturalist.org/observations/4b3942e2-b79b-47e5-84b7-532c95ce18a8,49.1415547979,9.1337521747,15,55925,2021-05-14,Geranium robertianum,species,47689,Geraniaceae,15753,flower,0.99658203125,Detected,Unequivocal,0.03688186377197994,0.9905088320590562,0.9764489303624706,Geranium
33036190.jpg,33036190,370967d4-425f-4ae7-84cc-fbed58a6c0cb,https://www.inaturalist.org/observations/370967d4-425f-4ae7-84cc-fbed58a6c0cb,33.677778000000004,-111.809722,NA,77057,2019-03-17,Erodium texanum,species,47689,Geraniaceae,15753,flower,0.9267578125,Detected,Unequivocal,0.03688186377197994,0.9905088320590562,0.9764489303624706,Erodium
214166820.jpg,214166820,cd0e67d6-9468-4b98-8146-68d1c9333961,https://www.inaturalist.org/observations/cd0e67d6-9468-4b98-8146-68d1c9333961,55.9439577565,-3.1613746138,219,52821,2022-07-14,Achillea millefolium,species,47604,Asteraceae,104342,flower,0.99951171875,Detected,Unequivocal,0.07600966053938012,0.9828131644729337,0.9440877115638956,Achillea
281546739.jpg,281546739,b5739d39-8752-4602-afc4-326cd122430d,https://www.inaturalist.org/observations/b5739d39-8752-4602-afc4-326cd122430d,32.418605,-110.7303083333,4,70010,2023-05-20,Viola canadensis,species,50828,Violaceae,7225,flower,0.9990234375,Detected,Unequivocal,0.01314878892733564,0.9955119214586255,0.9900346020761246,Viola
67695378.jpg,67695378,9611128f-b1f5-48d9-a7c2-ad67b3d61a48,https://www.inaturalist.org/observations/9611128f-b1f5-48d9-a7c2-ad67b3d61a48,38.26963833,-122.23864667,14,50648,2020-04-19,Nemophila menziesii,species,48150,Boraginaceae,18082,flower,0.9990234375,Detected,Unequivocal,0.04230726689525495,0.989952070220015,0.9648822032960956,Nemophila
135998985.jpeg,135998985,77270cfc-e3ba-4218-ac59-673f0c8f71d6,https://www.inaturalist.org/observations/77270cfc-e3ba-4218-ac59-673f0c8f71d6,42.5163275416,1.5377366428,535,55886,2021-05-11,Lunaria annua,species,47204,Brassicaceae,21075,flower,0.99609375,Detected,Unequivocal,0.10173190984578884,0.9820928635571284,0.9202846975088969,Lunaria
139319407.jpg,139319407,73a621f2-d99d-4b0b-a07d-9456cea410c6,https://www.inaturalist.org/observations/73a621f2-d99d-4b0b-a07d-9456cea410c6,58.6688349024,33.9009693588,6,741459,2021-06-23,Viscaria vulgaris,species,48567,Caryophyllaceae,11578,flower,0.96875,Detected,Unequivocal,0.05354983589566419,0.9916043073553568,0.9645880117464156,Viscaria
213888581.jpeg,213888581,8e24a4af-c7c4-47f4-ae00-c3a001c017fe,https://www.inaturalist.org/observations/8e24a4af-c7c4-47f4-ae00-c3a001c017fe,54.7205457,20.0521357,NA,57056,2022-06-03,Medicago lupulina,species,47122,Fabaceae,54776,flower,0.99072265625,Detected,Unequivocal,0.04414342047612093,0.98682149814737,0.964564772893238,Medicago
55291645.jpg,55291645,787662a1-7c8c-4411-8814-e867c2058fc8,https://www.inaturalist.org/observations/787662a1-7c8c-4411-8814-e867c2058fc8,-34.3893928528,20.5418395994,10,581126,2019-10-27,Berzelia cordifolia,species,71461,Bruniaceae,18,flower,0.9990234375,Detected,Unequivocal,0.2777777777777778,1,0.7222222222222222,Berzelia
122806332.jpg,122806332,2a881e5a-33ed-4e37-8d81-97bcd53bad63,https://www.inaturalist.org/observations/2a881e5a-33ed-4e37-8d81-97bcd53bad63,54.5171366667,-3.1592695,48,61481,2021-04-24,Viola riviniana,species,50828,Violaceae,7225,flower,0.9990234375,Detected,Unequivocal,0.01314878892733564,0.9955119214586255,0.9900346020761246,Viola
