Plant Group,Phenophase Code,PPO_ID,PPO_RDFS_Label,PPO_ID,PPO_RDFS_Label,Notes
DTS,FR-NONE,PPO:0002644,{ripe fruit absent},,,
DTS,FR-FIRST,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
DTS,FR-EARLY,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
DTS,FR-MIDDLE,PPO:0002345,{ripe fruit present},,,
DTS,FR-LATE,PPO:0002358,{abscised fruit present},,,
G,FR-NONE,PPO:0002644,{ripe fruit absent},,,
G,FR-FIRST,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
G,FR-EARLY,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
G,FR-MIDDLE,PPO:0002345,{ripe fruit present},,,
G,FR-LATE,PPO:0002358,{abscised fruit present},,,
ETS,FR-NONE,PPO:0002644,{ripe fruit absent},,,
ETS,FR-FIRST,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
ETS,FR-EARLY,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
ETS,FR-MIDDLE,PPO:0002345,{ripe fruit present},,,
ETS,FR-LATE,PPO:0002358,{abscised fruit present},,,
WH,FR-NONE,PPO:0002644,{ripe fruit absent},,,
WH,FR-FIRST,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
WH,FR-EARLY,PPO:0002345,{ripe fruit present},PPO:0002377,{developing fruit present},
WH,FR-MIDDLE,PPO:0002345,{ripe fruit present},,,
WH,FR-LATE,PPO:0002358,{abscised fruit present},,,
C,FR-NONE,PPO:0002672,{mature megasporangiate strobilus absent},,,
C,FR-FIRST,PPO:0002373,{mature megasporangiate strobilus present},PPO:0002372,{immature post-fertilization megasporangiate strobilus present},
C,FR-EARLY,PPO:0002373,{mature megasporangiate strobilus present},PPO:0002372,{immature post-fertilization megasporangiate strobilus present},
C,FR-MIDDLE,PPO:0002373,{mature megasporangiate strobilus present},,,
C,FR-LATE,PPO:0002359,{abscised megasporangiate strobilus present},,,
WH,FL-NONE,PPO:0002624,{non-senesced reproductive shoot system absent},,,
WH,FL-FIRSTBUDEMERGED,PPO:0002393,{non-dormant flower bud present},PPO:0002632,{open flower absent},
WH,FL-BUDBURST,PPO:0002332,{unopened flower present},PPO:0002632,{open flower absent},
WH,FL-FIRST,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
WH,FL-EARLY,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
WH,FL-MIDDLE,PPO:0002333,{open flower present},,,
WH,FL-LATE,PPO:0002335,{senesced flower present},,,
WH,FL-ALLWITHERED,PPO:0002335,{senesced flower present},PPO:0002630,{non-senesced flower absent},
ETS,FL-NONE,PPO:0002632,{open flower absent},,,
ETS,FL-FIRST,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
ETS,FL-EARLY,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
ETS,FL-MIDDLE,PPO:0002333,{open flower present},,,
ETS,FL-LATE,PPO:0002335,{senesced flower present},,,
DTS,FL-NONE,PPO:0002624,{non-senesced reproductive shoot system absent},,,
DTS,FL-BUDBURST,PPO:0002332,{unopened flower present},PPO:0002632,{open flower absent},Probably better to map this to unopened flower than breaking flower bud because observers will report this from the time the first reproductive bud breaks all the way through only unopened flowers until the first flower is open
DTS,FL-FIRST,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
DTS,FL-EARLY,PPO:0002333,{open flower present},PPO:0002332,{unopened flower present},
DTS,FL-MIDDLE,PPO:0002333,{open flower present},,,
DTS,FL-LATE,PPO:0002335,{senesced flower present},,,
G,FS-NONE,PPO:0002636,{non-senesced inflorescence absent},,,
G,FS-FIRST,PPO:0002337,{non-senesced inflorescence present},,,
G,FS-EARLY,PPO:0002337,{non-senesced inflorescence present},,,
G,FS-MIDDLE,PPO:0002336,{inflorescence present},,,
G,PO-NONE,PPO:0002633,{pollen-releasing flower absent},,,
G,PO-FIRST,PPO:0002334,{pollen-releasing flower present},,,
G,PO-EARLY,PPO:0002334,{pollen-releasing flower present},,,
G,PO-MIDDLE,PPO:0002334,{pollen-releasing flower present},,,
C,PO-NONE,PPO:0002649,{pollen-releasing microsporangiate strobilus absent},,,
