verbatim_trait,status,trait_urn,trait
First leaf (historic lilac/honeysuckle),1,PPO:0002311,breaking vegetative bud present
Emerging leaves (1 location),0,PPO:0002610,breaking vegetative bud absent
Emerging leaves (1 location),1,PPO:0002311,breaking vegetative bud present
Breaking leaf buds,0,PPO:0002610,breaking vegetative bud absent
Breaking leaf buds,1,PPO:0002311,breaking vegetative bud present
Breaking leaf buds (lilac/honeysuckle),0,PPO:0002610,breaking vegetative bud absent
Breaking leaf buds (lilac/honeysuckle),1,PPO:0002311,breaking vegetative bud present
Breaking needle buds (conifers),0,PPO:0002610,breaking vegetative bud absent
Breaking needle buds (conifers),1,PPO:0002311,breaking vegetative bud present
Breaking needle buds (deciduous),0,PPO:0002610,breaking vegetative bud absent
Breaking needle buds (deciduous),1,PPO:0002311,breaking vegetative bud present
Initial growth (forbs),0,PPO:0002600,new vegetative shoot system absent
Initial growth (forbs),1,PPO:0002301,new vegetative shoot system present
Initial growth (grasses/sedges),0,PPO:0002600,new vegetative shoot system absent
Initial growth (grasses/sedges),1,PPO:0002301,new vegetative shoot system present
Emerging needles (pines),0,PPO:0002613,unfolding true leaf absent
Emerging needles (pines),1,PPO:0002314,unfolding true leaf present
Initial growth (rushes),0,PPO:0002600,new vegetative shoot system absent
Initial growth (rushes),1,PPO:0002301,new vegetative shoot system present
"Young unfolded leaves (evergreen, 1 location)",0,PPO:0002617,immature unfolded true leaf absent
"Young unfolded leaves (evergreen, 1 location)",1,PPO:0002318,immature unfolded true leaf present
Early season leaf expansion,0,,
Early season leaf expansion,1,PPO:0002320,expanding unfolded true leaf present
Young leaves (tree/shrub),0,PPO:0002617,immature unfolded true leaf absent
Young leaves (tree/shrub),1,PPO:0002318,immature unfolded true leaf present
Young needles (conifers),0,PPO:0002617,immature unfolded true leaf absent
Young needles (conifers),1,PPO:0002318,immature unfolded true leaf present
Young needles (pines),0,PPO:0002617,immature unfolded true leaf absent
Young needles (pines),1,PPO:0002318,immature unfolded true leaf present
Young leaves (forbs),0,PPO:0002617,immature unfolded true leaf absent
Young leaves (forbs),1,PPO:0002318,immature unfolded true leaf present
Full leaf (historic lilac/honeysuckle),1,PPO:0002315,unfolded true leaf present
Leaves,0,PPO:0002614,unfolded true leaf absent
Leaves,1,PPO:0002315,unfolded true leaf present
Needles (deciduous),0,PPO:0002614,unfolded true leaf absent
Needles (deciduous),1,PPO:0002315,unfolded true leaf present
Leaves (forbs),0,PPO:0002614,unfolded true leaf absent
Leaves (forbs),1,PPO:0002315,unfolded true leaf present
Leaves (grasses),0,PPO:0002614,unfolded true leaf absent
Leaves (grasses),1,PPO:0002315,unfolded true leaf present
Leaves (sedges),0,PPO:0002614,unfolded true leaf absent
Leaves (sedges),1,PPO:0002315,unfolded true leaf present
Leaves (rushes),0,PPO:0002614,unfolded true leaf absent
Leaves (rushes),1,PPO:0002315,unfolded true leaf present
Colored leaves,0,PPO:0002616,senescing true leaf absent
Colored leaves,1,PPO:0002317,senescing true leaf present
Colored needles,0,PPO:0002616,senescing true leaf absent
Colored needles,1,PPO:0002317,senescing true leaf present
>=50% of leaves fallen (deciduous),0,,
>=50% of leaves fallen (deciduous),1,PPO:0002357,abscised leaf present
All leaves fallen (deciduous),0,,
All leaves fallen (deciduous),1,PPO:0002357,abscised leaf present
All leaves withered (herbaceous and grasses),0,,
All leaves withered (herbaceous and grasses),1,PPO:0002370,senesced true leaf present
>=50% of needles fallen (larch),0,,
>=50% of needles fallen (larch),1,PPO:0002357,abscised leaf present
All needles fallen (larch),0,,
All needles fallen (larch),1,PPO:0002357,abscised leaf present
Falling leaves,0,,
Falling leaves,1,PPO:0002357,abscised leaf present
Falling needles,0,,
Falling needles,1,PPO:0002357,abscised leaf present
Flower buds (1 location),0,PPO:0002625,unopened reproductive shoot system absent
Flower buds (1 location),1,PPO:0002326,unopened reproductive shoot system present
Pollen cones (conifers),0,PPO:0002647,non-senesced microsporangiate strobilus absent
Pollen cones (conifers),1,PPO:0002348,non-senesced microsporangiate strobilus present
Flower heads (grasses/sedges),0,PPO:0002636,non-senesced inflorescence absent
Flower heads (grasses/sedges),1,PPO:0002337,non-senesced inflorescence present
Flowers or flower buds,0,PPO:0002624,non-senesced reproductive shoot system absent
Flowers or flower buds,1,PPO:0002325,non-senesced reproductive shoot system present
First bloom (historic eastern lilac),1,PPO:0002333,open flower present
Full bloom (historic lilac/western honeysuckle),1,PPO:0002333,open flower present
Full flowering (50%),0,,
Full flowering (50%),1,PPO:0002333,open flower present
Open flowers (1 location),0,PPO:0002632,open flower absent
Open flowers (1 location),1,PPO:0002333,open flower present
Open flowers (lilac),0,PPO:0002632,open flower absent
Open flowers (lilac),1,PPO:0002333,open flower present
Full flowering (lilac),0,,
Full flowering (lilac),1,PPO:0002333,open flower present
Open flowers (honeysuckle),0,PPO:0002632,open flower absent
Open flowers (honeysuckle),1,PPO:0002333,open flower present
Full flowering (honeysuckle),0,,
Full flowering (honeysuckle),1,PPO:0002333,open flower present
First bloom (historic western lilac),1,PPO:0002333,open flower present
First bloom (historic honeysuckle),1,PPO:0002333,open flower present
Full bloom (historic eastern honeysuckle),1,PPO:0002333,open flower present
Open flowers (grasses/sedges),0,PPO:0002632,open flower absent
Open flowers (grasses/sedges),1,PPO:0002333,open flower present
Open pollen cones (conifers),0,PPO:0002648,open microsporangiate strobilus absent
Open pollen cones (conifers),1,PPO:0002349,open microsporangiate strobilus present
Open flowers,0,PPO:0002632,open flower absent
Open flowers,1,PPO:0002333,open flower present
Full pollen release (angiosperms),0,,
