Phenophases,Value,PPO_ID,PPO_RDFS_Label,Notes
Leaves_fresh,1,PPO:0002318,{immature unfolded true leaf present},
Leaves_mature,1,PPO:0002319,{mature true leaf present},
Leaves_old,1,PPO:0002317,{senescing true leaf present},
Flowers_bud ,1,PPO:0002332,{unopened flower present},
Flowers_open,1,PPO:0002333,{open flower present},
Flowers_male,1,PPO:0002362,{open staminate flower present},
Flowers_Female,1,PPO:0002361,{open pistillate flower present},
Fruits_unripe,1,PPO:0002377,{developing fruit present},
Fruits_ripe,1,PPO:0002345,{ripe fruit present},
Fruits_open,1,PPO:0002380,{dehisced senescing fruit present},
Leaves_fresh,0,PPO:0002617,{immature unfolded true leaf absent},
Leaves_mature,0,PPO:0002618,{mature true leaf absent},
Leaves_old,0,PPO:0002616,{senescing true leaf absent},
Flowers_bud ,0,PPO:0002631,{unopened flower absent},
Flowers_open,0,PPO:0002632,{open flower absent},
Flowers_male,0,PPO:0002661,{open staminate flower absent},
Flowers_Female,0,PPO:0002660,{open pistillate flower absent},
Fruits_unripe,0,PPO:0002676,{developing fruit absent},
Fruits_ripe,0,PPO:0002644,{ripe fruit absent},
Fruits_open,0,PPO:0002679,{dehisced senescing fruit absent},
Leaves_fresh,2,PPO:0002318,{immature unfolded true leaf present},
Leaves_mature,2,PPO:0002319,{mature true leaf present},
Leaves_old,2,PPO:0002317,{senescing true leaf present},
Flowers_bud ,2,PPO:0002332,{unopened flower present},
Flowers_open,2,PPO:0002333,{open flower present},
Flowers_male,2,PPO:0002362,{open staminate flower present},
Flowers_Female,2,PPO:0002361,{open pistillate flower present},
Fruits_unripe,2,PPO:0002377,{developing fruit present},
Fruits_ripe,2,PPO:0002345,{ripe fruit present},
Fruits_open,2,PPO:0002380,{dehisced senescing fruit present},
,,,,
,,,,
,,,,
