scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Abies balsamea,Pinaceae,Abies balsamea,Abies balsamea (L.) Mill.,ACCEPTED,EXACT,100,2685383,
Acer circinatum,Sapindaceae,Acer circinatum,Acer circinatum Pursh,ACCEPTED,EXACT,100,3189884,
Acer grandidentatum,Sapindaceae,Acer grandidentatum,Acer grandidentatum Nutt. ex Torr. & A.Gray,ACCEPTED,EXACT,99,7546232,
Acer macrophyllum,Sapindaceae,Acer macrophyllum,Acer macrophyllum Pursh,ACCEPTED,EXACT,100,3189835,
Acer negundo,Sapindaceae,Acer negundo,Acer negundo L.,ACCEPTED,EXACT,100,3189866,
Acer nigrum,Sapindaceae,Acer nigrum,Acer nigrum F.Michx.,ACCEPTED,EXACT,100,3189854,
Acer pensylvanicum,Sapindaceae,Acer pensylvanicum,Acer pensylvanicum L.,ACCEPTED,EXACT,99,3189836,
Acer platanoides,Sapindaceae,Acer platanoides,Acer platanoides L.,ACCEPTED,EXACT,100,3189846,
Acer rubrum,Sapindaceae,Acer rubrum,Acer rubrum L.,ACCEPTED,EXACT,99,3189883,
Acer saccharinum,Sapindaceae,Acer saccharinum,Acer saccharinum L.,ACCEPTED,EXACT,99,3189837,
Acer saccharum,Sapindaceae,Acer saccharum,Acer saccharum Marshall,ACCEPTED,EXACT,100,3189859,
Acer spicatum,Sapindaceae,Acer spicatum,Acer spicatum Lam.,ACCEPTED,EXACT,100,3189848,
Achillea millefolium,Asteraceae,Achillea millefolium,Achillea millefolium L.,ACCEPTED,EXACT,99,3120060,
Actaea pachypoda,Ranunculaceae,Actaea pachypoda,Actaea pachypoda Elliott,ACCEPTED,EXACT,100,5371705,
Adenostoma fasciculatum,Rosaceae,Adenostoma fasciculatum,Adenostoma fasciculatum Hook. & Arn.,ACCEPTED,EXACT,100,3030227,
Aesculus californica,Sapindaceae,Aesculus californica,Aesculus californica (Spach) Nutt.,ACCEPTED,EXACT,100,3189813,
