machine_learning_annotation_id,errors
88c2dd4b-fb37-4eed-9b6c-c480c7d33c7e,Invalid or empty latitude/longitude
b290bbfc-b145-4a39-9ec0-9e7ba3ebc468,Invalid or empty latitude/longitude
9631c3b0-29df-4f18-b327-ae2d52d05c40,Invalid or empty latitude/longitude
f8ba628a-17ae-4d1c-8882-b07cf45a7b1b,Invalid or empty latitude/longitude
cf1e0913-e25e-4532-b387-5b6e79443b56,Invalid or empty latitude/longitude
12d0503b-747e-4717-bacd-7ea0c7cda0f8,Invalid or empty latitude/longitude
81de4522-45df-41d3-a786-b09daa9cdcee,Invalid or empty latitude/longitude
9b33192a-5988-40d5-9ee9-f2cd7b14d162,Invalid or empty latitude/longitude
8b0750f8-ac22-4f7c-9c64-32802209a3f8,Invalid or empty latitude/longitude
8543d8ac-9790-4d94-9869-7e13ee5344af,Invalid or empty latitude/longitude
7aea2a32-cda3-41ed-9886-af70f0c3c247,Invalid or empty latitude/longitude
bd2e80e2-6ec9-42a9-94df-ec0712db255e,Invalid or empty latitude/longitude
bedf1f25-5771-45e2-a0f4-e77254412217,Invalid or empty latitude/longitude
baa199a7-dc9c-4b38-80c5-2090be4966f5,Invalid or empty latitude/longitude
7c12b40b-3aed-409d-acbc-7e3b9ab5d93b,Invalid or empty latitude/longitude
7e19369e-6946-4771-9baf-879d73d5eaf6,Invalid or empty latitude/longitude
29bc5b8f-fa71-478f-9c2f-c96faa9e914a,Invalid or empty latitude/longitude
d369420a-8773-4ce4-b07f-86f8293691bd,Invalid or empty latitude/longitude
