?trait	?trait_name	?mapped_traits
<http://purl.obolibrary.org/obo/PPO_0002323>	"reproductive structure present"	"reproductive structure present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002317>	"senescing true leaf present"	"senescing true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002635>	"inflorescence absent"	"inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002307>	"vegetative bud present"	"vegetative bud present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002355>	"ripe megasporangiate strobilus present"	"ripe megasporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002649>	"pollen-releasing microsporangiate strobilus absent"	"pollen-releasing microsporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002347>	"microsporangiate strobilus present"	"microsporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002629>	"flower absent"	"flower absent"
<http://purl.obolibrary.org/obo/PPO_0002645>	"strobilus absent"	"strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002309>	"non-dormant vegetative bud present"	"non-dormant vegetative bud present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002334>	"pollen-releasing flower present"	"pollen-releasing flower present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002316>	"non-senescing unfolded true leaf present"	"non-senescing unfolded true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002308>	"dormant vegetative bud present"	"dormant vegetative bud present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002614>	"unfolded true leaf absent"	"unfolded true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002609>	"swelling vegetative bud absent"	"swelling vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002346>	"strobilus present"	"strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002327>	"open reproductive shoot system present"	"open reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002351>	"megasporangiate strobilus present"	"megasporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002329>	"senesced reproductive shoot system present"	"senesced reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002637>	"unopened inflorescence absent"	"unopened inflorescence absent"
<http://purl.obolibrary.org/obo/PPO_0002611>	"vascular leaf absent"	"vascular leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002655>	"abscised plant structure absent"	"abscised plant structure absent"
<http://purl.obolibrary.org/obo/PPO_0002618>	"mature true leaf absent"	"mature true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002605>	"new shoot system emerging from ground in later growth cycle absent"	"new shoot system emerging from ground in later growth cycle absent"
<http://purl.obolibrary.org/obo/PPO_0002619>	"expanding unfolded true leaf absent"	"expanding unfolded true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002626>	"open reproductive shoot system absent"	"open reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002320>	"expanding unfolded true leaf present"	"expanding unfolded true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002330>	"flower present"	"flower present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002633>	"pollen-releasing flower absent"	"pollen-releasing flower absent"
<http://purl.obolibrary.org/obo/PPO_0002647>	"fresh microsporangiate strobilus absent"	"fresh microsporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002341>	"senesced inflorescence present"	"senesced inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002628>	"senesced reproductive shoot system absent"	"senesced reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002342>	"simple fruit or compound fruit present"	"simple fruit or compound fruit present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002310>	"swelling vegetative bud present"	"swelling vegetative bud present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002623>	"reproductive shoot system absent"	"reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002600>	"new shoot system absent"	"new shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002634>	"senesced flower absent"	"senesced flower absent"
<http://purl.obolibrary.org/obo/PPO_0002328>	"pollen-releasing reproductive shoot system present"	"pollen-releasing reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002360>	"non-vascular leaf present"	"non-vascular leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002651>	"fresh megasporangiate strobilus absent"	"fresh megasporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002621>	"expanding true leaf absent"	"expanding true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002326>	"unopened reproductive shoot system present"	"unopened reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002604>	"seedling absent"	"seedling absent"
<http://purl.obolibrary.org/obo/PPO_0002345>	"ripe fruit present"	"ripe fruit present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002357>	"abscised leaf present"	"abscised leaf present"
<http://purl.obolibrary.org/obo/PPO_0002354>	"unripe megasporangiate strobilus present"	"unripe megasporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002343>	"ripening fruit present"	"ripening fruit present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002659>	"non-vascular leaf absent"	"non-vascular leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002349>	"open microsporangiate strobilus present"	"open microsporangiate strobilus present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002304>	"new shoot system emerging from ground in first growth cycle present"	"new shoot system emerging from ground in first growth cycle present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002311>	"breaking vegetative bud present"	"breaking vegetative bud present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002340>	"pollen-releasing inflorescence present"	"pollen-releasing inflorescence present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002646>	"microsporangiate strobilus absent"	"microsporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002627>	"pollen-releasing reproductive shoot system absent"	"pollen-releasing reproductive shoot system absent"
<http://purl.obolibrary.org/obo/PPO_0002332>	"unopened flower present"	"unopened flower present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002324>	"reproductive shoot system present"	"reproductive shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002321>	"expanded immature true leaf present"	"expanded immature true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002315>	"unfolded true leaf present"	"unfolded true leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002620>	"expanded immature true leaf absent"	"expanded immature true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002303>	"new shoot system emerging from ground present"	"new shoot system emerging from ground present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002606>	"vegetative bud absent"	"vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002305>	"seedling present"	"seedling present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002603>	"new shoot system emerging from ground in first growth cycle absent"	"new shoot system emerging from ground in first growth cycle absent"
<http://purl.obolibrary.org/obo/PPO_0002631>	"unopened flower absent"	"unopened flower absent"
<http://purl.obolibrary.org/obo/PPO_0002608>	"non-dormant vegetative bud absent"	"non-dormant vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002632>	"open flower absent"	"open flower absent"
<http://purl.obolibrary.org/obo/PPO_0002616>	"senescing true leaf absent"	"senescing true leaf absent"
<http://purl.obolibrary.org/obo/PPO_0002648>	"open microsporangiate strobilus absent"	"open microsporangiate strobilus absent"
<http://purl.obolibrary.org/obo/PPO_0002312>	"vascular leaf present"	"vascular leaf present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002300>	"plant structure present"	"plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002302>	"new above-ground shoot-borne shoot system present"	"new above-ground shoot-borne shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002602>	"new shoot system emerging from ground absent"	"new shoot system emerging from ground absent"
<http://purl.obolibrary.org/obo/PPO_0002607>	"dormant vegetative bud absent"	"dormant vegetative bud absent"
<http://purl.obolibrary.org/obo/PPO_0002301>	"new shoot system present"	"new shoot system present|plant structure present"
<http://purl.obolibrary.org/obo/PPO_0002356>	"abscised plant structure present"	"abscised plant structure present"
