trait_id,trait_label,mapped_id,mapped_label
PPO:0002300,plant structure present,PPO:0002300,plant structure present
PPO:0002301,new vegetative shoot system present,PPO:0002300,plant structure present
PPO:0002301,new vegetative shoot system present,PPO:0002301,new vegetative shoot system present
PPO:0002302,new above-ground shoot-borne vegetative shoot system present,PPO:0002300,plant structure present
PPO:0002302,new above-ground shoot-borne vegetative shoot system present,PPO:0002301,new vegetative shoot system present
PPO:0002302,new above-ground shoot-borne vegetative shoot system present,PPO:0002302,new above-ground shoot-borne vegetative shoot system present
PPO:0002303,new vegetative shoot system emerging from ground present,PPO:0002300,plant structure present
PPO:0002303,new vegetative shoot system emerging from ground present,PPO:0002301,new vegetative shoot system present
PPO:0002303,new vegetative shoot system emerging from ground present,PPO:0002303,new vegetative shoot system emerging from ground present
PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present,PPO:0002300,plant structure present
PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present,PPO:0002301,new vegetative shoot system present
PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present,PPO:0002303,new vegetative shoot system emerging from ground present
PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present,PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present
PPO:0002305,seedling present,PPO:0002300,plant structure present
PPO:0002305,seedling present,PPO:0002301,new vegetative shoot system present
PPO:0002305,seedling present,PPO:0002303,new vegetative shoot system emerging from ground present
PPO:0002305,seedling present,PPO:0002304,new vegetative shoot system emerging from ground in first growth cycle present
PPO:0002305,seedling present,PPO:0002305,seedling present
PPO:0002306,new vegetative shoot system emerging from ground in later growth cycle present,PPO:0002300,plant structure present
PPO:0002306,new vegetative shoot system emerging from ground in later growth cycle present,PPO:0002301,new vegetative shoot system present
PPO:0002306,new vegetative shoot system emerging from ground in later growth cycle present,PPO:0002303,new vegetative shoot system emerging from ground present
PPO:0002306,new vegetative shoot system emerging from ground in later growth cycle present,PPO:0002306,new vegetative shoot system emerging from ground in later growth cycle present
PPO:0002307,vegetative bud present,PPO:0002300,plant structure present
PPO:0002307,vegetative bud present,PPO:0002307,vegetative bud present
PPO:0002308,dormant vegetative bud present,PPO:0002300,plant structure present
PPO:0002308,dormant vegetative bud present,PPO:0002307,vegetative bud present
PPO:0002308,dormant vegetative bud present,PPO:0002308,dormant vegetative bud present
PPO:0002309,non-dormant vegetative bud present,PPO:0002300,plant structure present
PPO:0002309,non-dormant vegetative bud present,PPO:0002307,vegetative bud present
PPO:0002309,non-dormant vegetative bud present,PPO:0002309,non-dormant vegetative bud present
PPO:0002310,swelling vegetative bud present,PPO:0002300,plant structure present
PPO:0002310,swelling vegetative bud present,PPO:0002307,vegetative bud present
PPO:0002310,swelling vegetative bud present,PPO:0002309,non-dormant vegetative bud present
PPO:0002310,swelling vegetative bud present,PPO:0002310,swelling vegetative bud present
PPO:0002311,breaking vegetative bud present,PPO:0002300,plant structure present
PPO:0002311,breaking vegetative bud present,PPO:0002301,new vegetative shoot system present
PPO:0002311,breaking vegetative bud present,PPO:0002302,new above-ground shoot-borne vegetative shoot system present
PPO:0002311,breaking vegetative bud present,PPO:0002307,vegetative bud present
PPO:0002311,breaking vegetative bud present,PPO:0002309,non-dormant vegetative bud present
PPO:0002311,breaking vegetative bud present,PPO:0002311,breaking vegetative bud present
PPO:0002311,breaking vegetative bud present,PPO:0002312,vascular leaf present
PPO:0002311,breaking vegetative bud present,PPO:0002313,true leaf present
PPO:0002311,breaking vegetative bud present,PPO:0002314,unfolding true leaf present
PPO:0002311,breaking vegetative bud present,PPO:0002322,expanding true leaf present
PPO:0002312,vascular leaf present,PPO:0002300,plant structure present
